"",weight,が悪い,が良い,の良い,が良く,は良いです,も良く,が良いです,は良いと,はありません,がいい,がいいです,がよい,もよく,が悪いです,がよく,が良いと,も良いです,もいいです,が悪く,も良い,は良い,が悪いと,はいいと,は思います,がいいので,も良いと,を考えると,は良好です,が良いので,は良く,はいいです,が良くない,にありません,のよい,は悪いです,はいいですね,が悪いので,も良いし,もなく,の取れた,も良いので,がいいと,が高い,が良くて,は感じです,の高い,もありません,は抜群です,は方だと,が感じます,も良好です,はよいです,がよいです,は最高です,が悪いのが,がありません,のとれた,はします,が悪いのと,がいまいち,が弱いです,を考えれば,も満足しています,は良いのですが,がいいですね,もいい,は良いですね,はありませんが,になります,と思います,はありますが,は悪くないです,がイマイチ,には満足しています,がある,も悪くなく,が悪いという,が悪かったので,にありますが,も悪い,は感じません,はいい,は思いますが,は悪くないと,はよいと,という点では,がよければ,に満足しています,に優れた,が感じられた
weight,"",0.105160398357212,0.0571877124599582,0.0228782716542856,0.0197971465814028,0.018216385512796,0.0173000018963319,0.0155858512468762,0.0150670447063468,0.013972201235213,0.0137489865379093,0.0126366826786548,0.0103544909096774,0.00930920533105479,0.00903191879511597,0.00872286418925784,0.00867781245103491,0.00820238747952253,0.0077857486644545,0.00777912227909904,0.00742089439520349,0.00686680636699427,0.00650354489320258,0.0064478917358431,0.00638944142671609,0.00610120047279304,0.00593758220032852,0.00592070265528819,0.00581671967873558,0.00538108724144337,0.00521147339745145,0.00516763423634381,0.00501583817276714,0.00494195565401459,0.00475607872977727,0.00466188160863559,0.00466130917386324,0.00457055795781301,0.004382914540636,0.00431981005852459,0.00417848800055265,0.00406046964084974,0.00393174998316729,0.00381889008702067,0.0037937666630636,0.00374764104522361,0.00362398172621249,0.00345609128415647,0.00336278226719812,0.00334109895161973,0.00329227742438693,0.00326678002056654,0.00319790728560017,0.00306037775935563,0.00304398972976525,0.00300761248731903,0.0029675934058654,0.00294041748187038,0.0027902908545878,0.00276958543066584,0.00270583816541903,0.00269730690013741,0.00268073350280694,0.00258038234699058,0.00253625276410472,0.00251645050241174,0.00250145516833788,0.00250120020285519,0.00246690618188132,0.00244555454107648,0.00238882111315043,0.00233150615817565,0.00230850520828914,0.00230796005768935,0.0022880656164185,0.00227418982842748,0.00227132550431642,0.00225724127335185,0.00225469878296979,0.00221417483836049,0.00221183949887706,0.00220743407985238,0.00215243437570298,0.0021075334267673,0.00209843863028665,0.00204270838584882,0.00199313698930601,0.00198720698349744,0.00197936634271209,0.00196479910313871,0.00196191667121014
持ち,0.0790502789339523,30,22,0,0,5,0,4,6,7,9,1,6,0,9,1,2,0,0,6,0,3,5,0,0,6,0,0,0,2,2,1,5,0,0,5,2,4,0,0,0,0,1,0,1,2,0,0,1,2,1,0,2,1,1,3,1,0,2,3,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,1,0,3,2,0,0,0,1,1,1,1,0,0,0,0,0
画質,0.0767787359064193,12,24,2,6,13,14,6,19,18,9,6,1,11,4,1,13,5,9,0,10,7,4,11,28,1,6,2,2,5,7,11,1,3,1,3,2,2,2,5,0,0,1,0,2,2,0,6,1,2,0,2,2,0,7,0,0,0,7,0,2,0,2,11,4,1,4,5,4,5,3,9,0,1,12,0,3,2,0,1,0,2,3,7,1,1,2,2,4,1,0
バランス,0.0584786089810893,6,14,20,10,5,6,7,8,0,4,3,3,5,2,5,9,4,0,2,1,2,4,4,0,0,11,8,3,2,3,0,1,0,6,1,2,1,0,1,27,3,4,2,1,0,2,0,1,0,3,0,1,0,0,0,1,19,1,0,0,0,5,1,0,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
使い勝手,0.0511950357484828,7,17,12,10,10,4,15,5,4,1,12,6,4,2,5,6,1,1,1,1,1,1,3,1,1,1,4,5,3,1,3,1,1,5,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,1,1,0,5,2,2,1,0,0,0,1,0,0,0,0,4,1,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,2,1,2,0,1,0,0
操作性,0.0420283193271388,6,4,4,8,6,12,4,10,11,1,3,2,5,2,3,2,9,3,0,8,2,0,9,11,2,6,3,6,2,2,4,1,3,0,3,1,0,1,2,0,1,0,3,0,3,0,1,6,0,0,3,4,1,1,0,0,0,0,0,1,0,1,2,4,1,5,1,1,0,0,3,0,1,1,0,1,0,0,0,0,0,2,3,1,0,4,0,1,2,0
携帯性,0.0364010548123614,3,6,11,2,3,12,5,12,11,1,1,3,6,1,0,1,2,1,2,1,3,2,0,12,5,2,3,3,1,4,10,0,1,0,5,0,2,1,1,0,1,1,1,1,2,0,1,17,0,0,0,3,0,1,0,0,0,0,1,0,0,3,0,5,0,0,1,7,0,0,0,0,0,1,0,1,4,0,0,0,1,0,2,2,2,3,0,0,5,0
ホールド感,0.0316576679810552,5,3,3,5,14,6,2,4,9,1,1,0,5,0,1,1,4,3,3,1,7,0,0,4,1,0,0,9,3,1,2,2,2,0,1,0,0,0,0,0,4,1,1,1,3,0,5,4,1,1,2,2,1,0,0,1,0,3,1,0,0,1,2,3,0,3,1,2,0,2,0,1,1,1,0,1,0,0,1,0,0,2,2,0,1,0,0,0,0,0
レスポンス,0.0207415709070884,6,8,2,6,1,6,0,1,1,1,0,0,0,0,4,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
写り,0.0206833419875519,2,4,7,4,4,4,1,5,6,5,1,0,1,0,0,2,0,0,0,2,3,1,2,4,2,2,0,1,1,2,7,0,2,1,0,4,0,1,0,0,0,1,0,2,1,0,8,0,1,0,0,0,0,4,0,0,0,2,0,0,0,2,1,1,0,3,0,0,3,0,1,1,0,3,0,1,1,0,1,0,0,1,0,0,2,0,1,2,0,0
デザイン,0.0188606921458334,0,7,1,3,2,7,2,11,0,1,0,1,1,0,1,1,2,3,0,2,2,0,6,11,0,4,0,1,2,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,5,0,1,0,1,0,0,1,0,2,0,1,0,3,0,0,0,0,1,2,4,2,2,2,1,7,4,1,0,0,0,1,0,0,0,0,1,0,3,3,3,0,1,0,0,0
質感,0.0187939144634107,1,4,1,5,4,5,2,4,2,4,1,1,2,0,1,1,2,5,0,6,0,0,2,2,0,3,0,1,0,0,5,0,0,0,0,1,0,0,1,0,0,0,9,1,4,5,0,0,0,1,2,1,0,4,0,0,0,1,0,0,0,0,1,1,2,0,1,1,0,0,3,1,0,2,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1
もち,0.0174036498217929,7,1,0,0,1,0,1,1,0,1,0,1,0,2,0,1,1,1,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
気持ち,0.0125390339282724,0,7,13,0,0,0,2,0,1,9,9,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コストパフォーマンス,0.0123800516444992,0,5,5,1,4,1,0,8,0,1,0,3,1,0,0,2,0,0,0,0,0,0,1,2,1,2,10,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,14,0,0,36,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,33,0
発色,0.0109094207064619,2,0,1,3,2,3,0,0,1,3,0,0,6,0,1,0,4,1,0,0,0,0,0,2,0,0,0,1,1,0,1,1,0,1,1,0,0,0,2,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,4,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レンズ,0.00937294799500585,1,1,5,1,10,1,0,2,8,1,0,0,0,0,0,2,0,0,0,1,1,0,3,6,0,0,0,0,0,1,4,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,2,0,0,0,1,0,6,0,0,0,0,0,0,2,3,0,2,3,21,2,0,0,0,5,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0
位置,0.00872093447314986,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
描写,0.0081202208107734,0,0,2,1,5,6,0,0,4,1,1,0,0,0,0,4,3,1,0,1,1,0,0,5,1,0,1,0,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
精度,0.00798445500190908,2,2,2,2,1,1,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
不満,0.00780441903920075,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,26,1,0,17,0,0,0,16,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
性能,0.00754906226840558,0,2,5,0,0,3,0,3,1,2,0,4,0,0,0,1,0,0,0,0,1,0,3,4,1,0,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
AF精度,0.00732792213557706,2,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド性,0.00721477027374472,2,1,0,4,2,0,2,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
視認性,0.00692561811088897,1,2,2,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
相性,0.00691905740070126,0,2,1,1,0,3,2,1,1,0,0,1,0,0,0,2,3,2,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
色乗り,0.00683480574586073,0,1,2,2,1,5,1,0,0,0,2,0,3,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感度,0.0067062397850635,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
評判,0.00662703482833024,0,1,14,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,6,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,0.00645663768516896,0,2,0,1,6,0,2,1,2,1,0,1,1,1,0,1,1,3,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
色,0.00643036196612816,2,1,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感じ,0.00595521153916116,0,4,0,0,3,0,1,1,6,1,2,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,22,1,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
質,0.0052194766983288,2,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
